,brand,price,originalpr,colour,shoetype,bargain
1627,Massimo Dutti,49.95,89.95,black,mules,40.0
1628,Anna Field,18.49,22.99,black,pumps,4.5
1629,Tamaris,99.95,99.95,black,boots,0.0
1630,Caprice,45.95,69.95,cream perlato,pumps,24.0
1631,Anna Field,22.49,27.99,red,pumps,5.5
1632,Tamaris,59.95,59.95,black,heels,0.0
1633,Anna Field,21.09,29.99,light pink,slip-ons,8.899999999999999
1634,Anna Field,30.99,34.99,gold,sandals,4.0000000000000036
1635,Tamaris,47.83,59.95,cognac,boots,12.120000000000005
1636,Copenhagen,139.95,199.95,milk,trainers,60.0
1637,On Running,169.0,169.0,white,trainers,0.0
1638,Levi's®,55.45,64.95,regular white,trainers,9.5
1639,Stradivarius,29.99,29.99,white,trainers,0.0
1640,Birkenstock,49.95,49.95,black,mixed,0.0
1641,Anna Field,21.09,34.99,cognac,boots,13.900000000000002
1642,Anna Field,25.59,29.99,black,heels,4.399999999999999
1643,Pier One,20.09,24.99,dark blue/white,espadrilles,4.899999999999999
1644,Palado,29.95,74.95,pink lack,mules,45.0
1645,Tamaris Active,98.95,179.95,mud,trainers,80.99999999999999
1646,OYSHO,18.19,25.99,white,slides,7.799999999999997
1647,ONLY SHOES,21.99,44.99,orange,sandals,23.000000000000004
1648,Anna Field,38.39,44.99,black,heels,6.600000000000001
1649,Palado,44.95,69.95,fuchsia,sandals,25.0
1650,Nine West,34.99,99.99,black,heels,65.0
1651,Nine West,39.99,119.99,nude,heels,80.0
1652,Marc O'Polo,34.95,69.95,vivid green,mules,35.0
1653,Anna Field,26.99,29.99,gold,sandals,3.0
1654,Stradivarius,35.99,35.99,off white,mixed,0.0
1655,Kickers,70.99,119.99,flat black,lace-ups,49.0
1656,Jana,47.45,49.95,black,mules,2.5
1657,Tamaris,99.95,99.95,black,slip-ons,0.0
1658,Marco Tozzi,24.95,49.95,navy/multi-coloured,heels,25.000000000000004
1659,White Sun,40.0,80.0,orange,mules,40.0
1660,Dr. Martens,159.95,159.95,black aunt sally,sandals,0.0
1661,New Balance,119.95,119.95,scorpio ,trainers,0.0
1662,Donna Carolina,149.39,179.9,braun,pumps,30.51000000000002
1663,Anna Field,29.99,59.99,cognac,sandals,30.000000000000004
1664,Anna Field,28.09,34.99,black,heels,6.900000000000002
1665,Birkenstock,129.95,129.95,thyme,slippers,0.0
1666,TOMS,38.95,59.95,navy,espadrilles,21.0
1667,Anna Field,35.99,39.99,white,trainers,4.0
1668,Anna Field,17.59,24.99,red,sandals,7.399999999999999
1669,Tamaris,79.95,79.95,black,slip-ons,0.0
1670,Marc O'Polo,99.99,109.99,white,trainers,10.0
1671,Gabor,82.49,125.0,lila,slip-ons,42.510000000000005
1672,Mexx,44.98,89.95,sand,trainers,44.970000000000006
1673,Tamaris,36.95,49.95,rose pearl,heels,13.0
1674,Tommy Hilfiger,74.0,74.0,white,trainers,0.0
1675,Anna Field,22.49,27.99,black,sandals,5.5
1676,Call it Spring,41.45,54.95,open black,trainers,13.5
1677,Anna Field,33.99,39.99,white/lilac,sandals,6.0
1678,Freyling,19.99,79.99,schwarz grau,trainers,60.0
1679,Tamaris,59.95,59.95,silver,heels,0.0
1680,Tamaris,39.9,49.95,black,mules,10.050000000000004
1681,Paul Green,99.94,124.9,schwarz,pumps,24.960000000000008
1682,Gioseppo,54.95,54.95,blanco,sandals,0.0
1683,Tamaris,89.95,89.95,black,boots,0.0
1684,Cruz,39.9,49.9,timber wolf,mules,10.0
1685,Anna Field,44.99,49.99,cognac,lace-ups,5.0
1686,Anna Field,35.99,39.99,black,sandals,4.0
1687,Zign,59.99,74.99,pink,sandals,14.999999999999993
1688,mtng,89.95,89.95,black,boots,0.0
1689,Mango,39.99,49.99,średni brązowy,mules,10.0
1690,Where’s That From,49.99,49.99,black suede,wedges,0.0
1691,Gabor,59.95,99.95,light grey,heels,40.0
1692,Bullboxer,65.97,109.95,black,boots,43.980000000000004
1693,adidas Originals,109.95,109.95,night cargo/yellow,trainers,0.0
1694,Vans,63.95,79.95,racing red/true white,trainers,16.0
1695,s.Oliver,47.49,49.99,black,sandals,2.5
1696,NoGRZ,49.95,129.95,ecru,trainers,79.99999999999999
1697,Tamaris,41.95,59.95,cream matt,slip-ons,18.0
1698,Tamaris,41.95,69.95,black,heels,28.0
1699,NeroGiardini,169.9,169.9,bianco,trainers,0.0
1700,Paul Green,99.95,134.95,biscuit,sandals,34.999999999999986
1701,Bullboxer,45.45,64.95,gold,mules,19.5
1702,New Look,40.49,44.99,black,sandals,4.5
1703,Where’s That From,34.99,34.99,white,slides,0.0
1704,Havaianas,30.95,35.95,beige,sandals,5.0000000000000036
1705,Converse,89.95,89.95,black/natural ivory/white,trainers,0.0
1706,Puma,59.95,59.95,black black silver,trainers,0.0
1707,New Look Tall,41.99,49.99,gold,mixed,8.0
1708,adidas Originals,23.95,34.95,white,slides,11.000000000000004
1709,Betsy,79.99,114.99,wine red,boots,35.0
1710,Anna Field,39.99,79.99, cognac,boots,39.99999999999999
1711,Marks & Spencer,33.0,55.0,pale pink,pumps,22.0
1712,Anna Field,21.09,29.99,blue,sandals,8.899999999999999
1713,Tamaris,79.95,79.95,cognac comb,slip-ons,0.0
1714,Even&Odd,26.99,26.99,beige,slippers,0.0
1715,Even&Odd Wide Fit,25.59,29.99,gold,pumps,4.399999999999999
1716,flip*flop,59.95,59.95,taupe,mules,0.0
1717,TOM TAILOR,32.18,49.99,blau,sandals,17.810000000000002
1718,Anna Field Wide Fit,19.59,29.99,beige,pumps,10.399999999999999
1719,Anna Field,39.99,39.99,red,heels,0.0
1720,WITTCHEN,29.0,49.0,blue,espadrilles,20.0
1721,Anna Field,34.99,69.99,1light grey,heels,34.99999999999999
1722,Palado,39.95,74.95,beige creme,mules,35.0
1723,Gerry Weber,94.99,159.99,schwarz,boots,65.00000000000001
1724,Philip Hog,119.0,119.0,white,slip-ons,0.0
1725,Bershka,19.99,25.99,white,trainers,6.0
1726,adidas Originals,27.95,39.95,almost yellow/cloud white/off white,mules,12.000000000000004
1727,Anna Field,24.99,49.99,beige,boots,25.000000000000004
1728,New Look,22.99,29.99,black,pumps,7.0
1729,PULL&BEAR,49.99,49.99,black,boots,0.0
1730,Anna Field,35.99,39.99,white,sandals,4.0
1731,Marco Tozzi,49.95,49.95,forest,heels,0.0
1732,Next,47.0,47.0,white,mules,0.0
1733,Anna Field,34.99,34.99,black,boots,0.0
1734,Anna Field Wide Fit,26.99,54.99,cognac,pumps,28.000000000000004
1735,Esprit,39.99,59.99,caramel,mules,20.0
1736,Esprit,46.99,69.99,navy,sandals,22.999999999999993
1737,Bershka,25.99,25.99,white,trainers,0.0
1738,Betsy,79.99,79.99,beige,sandals,0.0
1739,Cesare Gaspari,65.0,125.0,green,mules,60.0
1740,Zign,59.99,79.99,silver,sandals,19.999999999999993
1741,Betsy,49.99,79.99,light pink,sandals,29.999999999999993
1742,Caprice,45.95,59.95,black suede,sandals,14.0
1743,Palado,59.95,79.95,silber,mules,20.0
1744,Crosby,29.99,39.99,white,trainers,10.000000000000004
1745,Marco Tozzi,36.95,49.95,rose metallic comb,sandals,13.0
1746,Bosanova,26.99,29.99,arena,mules,3.0
1747,Bershka,35.99,35.99,beige,mules,0.0
1748,Creeks,29.99,29.99,multicoloured,trainers,0.0
1749,s.Oliver,35.9,49.99,rose,sandals,14.090000000000003
1750,Even&Odd,19.99,39.99,light pink,heels,20.000000000000004
1751,Betsy,44.99,74.99,white,sandals,29.999999999999993
1752,Timberland,53.95,89.95,saddle,sandals,36.0
1753,Skechers Sport,57.95,75.0,grey,trainers,17.049999999999997
1754,Derimod,59.99,79.99,light brown,sandals,19.999999999999993
1755,Puma,64.95,64.95,cool dark gray white gold,trainers,0.0
1756,Even&Odd,31.69,44.99,gold,sandals,13.3
1757,Buffalo,89.99,89.99,silver metallic,sandals,0.0
1758,adidas Originals,109.95,109.95,scarlet/footwear white,mixed,0.0
1759,Anna Field,54.99,54.99,black,boots,0.0
1760,Tamaris,49.95,49.95,white matt,sandals,0.0
1761,New Look,39.99,39.99,black,mules,0.0
1762,Nine West,69.99,109.99,black,mules,40.0
1763,Where’s That From,49.99,49.99,black fs,heels,0.0
1764,RAID,39.99,39.99,white,trainers,0.0
1765,Marco Tozzi,34.95,49.95,cream,heels,15.0
1766,Anna Field,26.39,34.99,white,pumps,8.600000000000001
1767,Bama,19.95,19.95,black,insole,0.0
1768,Bagatt,49.0,69.95,beige,mules,20.950000000000003
1769,Dr. Martens,131.95,154.95,dark brown,boots,23.0
1770,Even&Odd,48.99,54.99,black ,heels,6.0
1771,New Balance,109.95,109.95,off-white/dark blue,trainers,0.0
1772,Tamaris,35.95,59.95,pink,sandals,24.0
1773,Tamaris,99.95,99.95,brown,boots,0.0
1774,Anna Field,16.99,34.99,offwhite,heels,18.000000000000004
1775,Reebok Classic,89.95,89.95,white,trainers,0.0
1776,Anna Field,20.09,24.99,black,sandals,4.899999999999999
1777,New Look,31.49,44.99,tan,sandals,13.500000000000004
1778,Vero Moda,64.99,64.99,moonlight,mixed,0.0
1779,Pier One,29.99,59.99,cognac,slip-ons,30.000000000000004
1780,Quiksilver,42.0,42.0,black,sandals,0.0
1781,Nine West,39.99,99.99,salmon,sandals,59.99999999999999
1782,Next,70.0,70.0,black suede,pumps,0.0
1783,Vagabond,72.45,84.95,gold coloured,sandals,12.5
1784,Buffalo,99.99,99.99,black,heels,0.0
1785,Anna Field,31.99,39.99,white,sandals,8.000000000000004
1786,Wojas,99.9,99.9,black,heels,0.0
1787,Bama,13.95,13.95,beige,insole,0.0
1788,Skechers Wide Fit,55.95,79.95,green ,trainers,24.0
1789,Bama,19.95,19.95,multicolor,insole,0.0
1790,Tamaris,48.95,69.95,black ,sandals,21.0
1791,CHARLES FOOTWEAR,80.0,119.0,black,boots,39.0
1792,Nine West,44.99,109.99,white,heels,65.0
1793,Birkenstock,59.45,69.95,silver,slippers,10.5
1794,Pier One,53.99,59.99,cognac,pumps,6.0
1795,Crosby,44.99,49.99,white,trainers,5.0
1796,Even&Odd,29.99,39.99,light pink,sandals,10.000000000000004
1797,Tamaris,59.95,89.95,black taupe,boots,30.0
1798,Lacoste,77.0,110.0,white/off white,trainers,33.0
1799,Caprice,35.95,59.95,cement suede,sandals,24.0
1800,Call it Spring,50.95,59.95,multi-coloured,trainers,9.0
1801,Palado,69.95,79.95,gold,mules,10.0
1802,GANT,90.95,129.95,white,trainers,38.999999999999986
1803,Crosby,24.99,39.99,white,trainers,15.000000000000004
1804,Bama,16.95,16.95,gruen,insole,0.0
1805,White Sun,30.0,60.0,burgundy,mules,30.0
1806,Tamaris,60.16,89.95,taupe nubuc,lace-ups,29.790000000000006
1807,LOLA CASADEMUNT,64.5,129.0,fuchsia,sandals,64.5
1808,Bagatt,99.95,99.95,braun,boots,0.0
1809,Anna Field,24.99,49.99,beige,boots,25.000000000000004
1810,Skechers,44.95,44.95,black ,sandals,0.0
1811,Tamaris,69.95,69.95,shell,slip-ons,0.0
1812,Philip Hog,59.0,119.0,black,sandals,60.0
1813,Zign,52.49,69.99,light pink,sandals,17.499999999999993
1814,Tamaris,41.95,49.95,rose gold,sandals,8.0
1815,Toni Pons,69.95,69.95,gold-coloured,espadrilles,0.0
1816,Anna Field,39.99,39.99,cognac,boots,0.0
1817,Even&Odd,33.99,39.99,white,sandals,6.0
1818,Bama,16.95,16.95,red blue,insole,0.0
1819,Massimo Dutti,159.0,159.0,black,boots,0.0
1820,Bama,19.95,19.95,braun,insole,0.0
1821,ONLY SHOES,34.99,34.99,white/black,trainers,0.0
1822,Steve Madden,114.95,164.95,black,boots,49.999999999999986
1823,Guess,109.95,109.95,black/brown,trainers,0.0
1824,Marco Tozzi,23.95,39.95,pink/red,pumps,16.000000000000004
1825,Tamaris,79.95,79.95,black,boots,0.0
1826,Skechers Sport,64.85,74.95,white /black,trainers,10.100000000000009
1827,Veja,149.95,149.95,white/natural,trainers,0.0
1828,Bama,29.95,29.95,schwarz,insole,0.0
1829,Ambellis,23.99,99.99,grau schwarz,trainers,76.0
1830,Betsy,49.99,49.99,black,sandals,0.0
1831,Bama,13.95,13.95,brown,insole,0.0
1832,Marc O'Polo,84.95,99.95,black,mules,15.0
1833,Bershka,29.99,29.99,beige,trainers,0.0
1834,Anna Field,55.99,69.99,white,heels,13.999999999999993
1835,Betsy,34.99,59.99,black,heels,25.0
1836,Skechers Sport,71.99,84.99,black/rose gold ,trainers,13.0
1837,Esprit,33.99,49.99,off white,trainers,16.0
1838,Anna Field,19.99,39.99,white,heels,20.000000000000004
1839,s.Oliver,28.9,49.99,taupe,heels,21.090000000000003
1840,Tamaris,41.95,49.95,copper glam,sandals,8.0
1841,Bershka,35.99,35.99,sand,boots,0.0
1842,Anna Field,34.99,34.99,beige,slip-ons,0.0
1843,Stradivarius,19.99,19.99,beige,mules,0.0
1844,New Look,35.99,44.99,off white,mules,9.0
1845,Marco Tozzi,39.43,49.95,mango,sandals,10.520000000000003
1846,Zign,55.99,69.99,multi-coloured,slip-ons,13.999999999999993
1847,Nine West,69.99,89.99,black,sandals,20.0
1848,Where’s That From,35.99,44.99,silver metallic,mules,9.0
1849,OYSHO,12.59,17.99,black,slides,5.399999999999999
1850,Hummel,38.95,59.95,white/red/blue,trainers,21.0
1851,Tamaris,29.95,59.95,black,sandals,30.000000000000004
1852,Musk,59.99,114.99,white,trainers,54.99999999999999
1853,Marc O'Polo,149.95,149.95,black,heels,0.0
1854,Anna Field,29.89,34.99,black,sandals,5.100000000000001
1855,Bagatt,39.96,49.95,grün,mules,9.990000000000002
1856,ALDO,99.95,99.95,white/bone,sandals,0.0
1857,Tamaris,49.95,49.95,black,mules,0.0
1858,Rohde,44.77,54.99,earth,slippers,10.219999999999999
1859,Tamaris,47.4,59.95,black,mixed,12.550000000000004
1860,Pepe Jeans,27.5,55.0,red dahlia,mules,27.5
1861,Crosby,39.99,44.99,black,trainers,5.0
1862,Anna Field,49.99,49.99,beige,pumps,0.0
1863,Massimo Dutti,159.0,159.0,black,boots,0.0
1864,Lazamani,69.95,69.95,brown,sandals,0.0
1865,Marco Tozzi,59.95,59.95,khaki comb,boots,0.0
1866,Anna Field,21.99,39.99,black,heels,18.000000000000004
1867,Puma,51.95,74.95,white/silver,trainers,23.0
1868,Skechers Wide Fit,64.95,64.95,off white ,trainers,0.0
1869,Anna Field,35.99,39.99,taupe,boots,4.0
1870,Nine West,44.99,99.99,black,heels,54.99999999999999
1871,ONLY SHOES,22.49,27.99,white,sandals,5.5
1872,Anna Field,33.99,39.99,black,sandals,6.0
1873,Anna Field,24.89,44.99,black,mules,20.1
1874,TOM TAILOR,44.99,49.99,schwarz,sandals,5.0
1875,Where’s That From,44.99,44.99,silver glitter,sandals,0.0
1876,Even&Odd,21.99,44.99,beige,boots,23.000000000000004
1877,Cesare Gaspari,69.0,138.0,white,sandals,69.0
1878,Lazamani,64.95,64.95,pink,sandals,0.0
1879,Rubi Shoes by Cotton On,54.95,54.95,bone,heels,0.0
1880,Esprit,69.99,69.99,black,slip-ons,0.0
1881,CHARLES FOOTWEAR,87.0,109.99,beige,sandals,22.989999999999995
1882,Tamaris,36.95,49.95,navy,sandals,13.0
1883,Massimo Dutti,89.95,89.95,black,pumps,0.0
1884,Bershka,29.99,29.99,white,heels,0.0
1885,Bama,18.95,18.95,beige,insole,0.0
1886,Woden,119.0,119.0, algae multi,trainers,0.0
1887,Even&Odd,41.79,48.99,black,boots,7.200000000000003
1888,Converse,94.95,94.95,black,trainers,0.0
1889,Stradivarius,29.99,29.99,green,trainers,0.0
1890,Polo Ralph Lauren,150.0,150.0,triple black/red ,trainers,0.0
1891,On Running,179.99,179.99,rose fossil,trainers,0.0
1892,Massimo Dutti,99.95,99.95,black,pumps,0.0
1893,ara,79.96,99.95,black,heels,19.99000000000001
1894,Cesare Gaspari,68.0,178.0,beige,lace-ups,110.0
1895,Nine West,49.99,109.99,gold,espadrilles,59.99999999999999
1896,VERBENAS,56.79,59.99,grün,wellies,3.200000000000003
1897,Stradivarius,29.99,29.99,blue denim,trainers,0.0
1898,Skechers,69.95,69.95,black /rose gold,trainers,0.0
1899,Kazar,65.99,109.99,beige,mules,44.0
1900,Bama,19.95,19.95,grey,insole,0.0
1901,Tamaris,34.95,49.95,black,heels,15.0
1902,Palado,24.95,74.95,beige metallic,mules,50.0
1903,Skechers Wide Fit,59.95,59.95,white canvas,trainers,0.0
1904,Tamaris,49.99,79.99,sand,trainers,29.999999999999993
1905,Rieker,59.95,59.95,black,slippers,0.0
1906,The North Face,24.0,40.0,white,mules,16.0
1907,Puma,41.95,59.95,future pink/white/frosty pink,trainers,18.0
1908,Bama,17.95,17.95,beige,insole,0.0
1909,VERBENAS,53.96,59.95,petrol,espadrilles,5.990000000000002
1910,Philip Hog,119.0,119.0,black,trainers,0.0
1911,Carvela,55.0,135.0,pink,sandals,80.0
1912,Bullboxer,53.97,89.95,black,lace-ups,35.980000000000004
1913,ONLY SHOES,21.99,44.99,silver,sandals,23.000000000000004
1914,Dr. Martens,137.95,144.95,black,lace-ups,7.0
1915,Aigle,70.0,140.0,black,sandals,70.0
1916,Tamaris,41.95,59.95,powder,heels,18.0
1917,Anna Field,29.89,34.99,black,heels,5.100000000000001
1918,Mexx,53.97,89.95,dk navy,trainers,35.980000000000004
1919,Vans,55.95,74.95,black/white,slip-ons,19.0
1920,NoGRZ,99.95,129.95,cognac,trainers,29.999999999999986
1921,Stradivarius,39.99,39.99,off white,sandals,0.0
1922,Tamaris,59.95,59.95,navy,slip-ons,0.0
1923,Mango,39.99,39.99,nude,sandals,0.0
1924,Tommy Hilfiger,34.95,34.95,blue,sandals,0.0
1925,PULL&BEAR,25.19,35.99,black,sandals,10.8
1926,RAID,41.99,41.99,white,sandals,0.0
1927,Tamaris,39.95,49.95,powder matt,heels,10.0
1928,Paul Vesterbro,44.99,64.99,dunkelblau,boots,19.999999999999993
1929,Caprice,45.95,59.95,apple suede,pumps,14.0
1930,Nine West,44.99,109.99,black,heels,65.0
1931,Tamaris,29.95,49.95,light lilac,mules,20.000000000000004
1932,POD,66.0,110.0,black croc,boots,44.0
1933,Even&Odd,24.99,49.99,black,boots,25.000000000000004
1934,Freyling,23.99,109.99,dunkelblau,trainers,86.0
1935,Tamaris,55.95,59.95,offwhite,mules,4.0
1936,Call it Spring,64.95,64.95,black,heels,0.0
1937,PULL&BEAR,25.99,25.99,beige,trainers,0.0
1938,Palado,29.95,74.95,rosa lack,sandals,45.0
1939,Esprit,52.99,79.99,off white,trainers,26.999999999999993
1940,Högl,75.0,150.0,weiss,slip-ons,75.0
1941,Palado,29.95,74.95,dunkelblau,sandals,45.0
1942,Marc O'Polo,69.95,89.95,sand,sandals,20.0
1943,Felmini,160.0,160.0,lead grey ,boots,0.0
1944,Dr. Martens,124.95,124.95,black hydro,sandals,0.0
1945,Högl,139.9,139.9,silver,heels,0.0
1946,Anna Field,29.99,29.99,white,trainers,0.0
1947,Caprice,47.95,59.95,cognac nappa,sandals,12.0
1948,Skechers,64.3,69.95,light grey,trainers,5.650000000000006
1949,ASICS SportStyle,67.95,84.95,cream/port royal,trainers,17.0
1950,Calvin Klein Jeans,48.95,69.95,white,trainers,21.0
1951,Even&Odd,25.59,29.99,white,trainers,4.399999999999999
1952,FRED MARTIN COLLECTION,114.0,130.0,navy suede,sandals,16.0
1953,Pier One,69.99,69.99,beige,boots,0.0
1954,Anna Field,46.99,54.99,cognac,boots,8.0
1955,Anna Field Wide Fit,23.89,27.99,black,sandals,4.099999999999998
1956,Nike Sportswear,119.95,119.95,white/pale coral/black/metallic silver,trainers,0.0
1957,New Balance,119.95,119.95,white,trainers,0.0
1958,New Look,49.99,49.99,silver,sandals,0.0
1959,Noona,86.0,119.99,jasmine,sandals,33.989999999999995
1960,Marco Tozzi,39.95,49.95,powder ,heels,10.0
1961,Bagatt,59.95,79.95,pink metallics,trainers,20.0
1962,British Knights,69.95,69.95,beige/off white,trainers,0.0
1963,Palado,24.95,79.95,beige metallic,mules,55.0
1964,ASICS,67.31,100.0,black champagne,trainers,32.69
1965,Anna Field,42.69,49.99,gold,sandals,7.300000000000004
1966,Anna Field,49.99,49.99,black,boots,0.0
1967,Jana,47.9,59.95,blue,lace-ups,12.050000000000004
1968,Bagatt,99.0,99.0,black   black,boots,0.0
1969,Tamaris,58.95,69.95,white/rosegold,trainers,11.0
1970,Steve Madden,59.95,109.95,blush,sandals,50.0
1971,Puma,74.95,74.95,pristine,trainers,0.0
1972,Veja,159.95,159.95,extra-white/natural,trainers,0.0
1973,PULL&BEAR,22.99,39.99,green,sandals,17.000000000000004
1974,Philip Hog,59.0,99.0,ice,pumps,40.0
1975,Palado,29.95,79.95,biege matt,mules,50.0
1976,Tamaris,59.95,59.95,pearl,heels,0.0
1977,Buffalo,69.99,99.99,gold,sandals,30.0
1978,Bagatt,59.95,59.95,beige,mules,0.0
1979,Massimo Dutti,79.95,99.95,light brown,pumps,20.0
1980,Anna Field,38.39,44.99,white,heels,6.600000000000001
1981,Stradivarius,19.99,19.99,blue,mules,0.0
1982,Stradivarius,39.99,39.99,black,moccasins,0.0
1983,Kazar,109.99,109.99,black,mules,0.0
1984,Lacoste,80.95,89.95,white,trainers,9.0
1985,Stradivarius,25.99,25.99,off white,mules,0.0
1986,Calvin Klein Jeans,55.93,79.9,creamy white/eggshell,espadrilles,23.970000000000006
1987,New Balance,72.45,84.95,black,trainers,12.5
1988,Reebok Classic,71.95,79.95,steely fog/footwear white,trainers,8.0
1989,Adidas Terrex,129.95,129.95,core black core black grey five,trainers,0.0
1990,Tommy Hilfiger,59.95,99.95,white,trainers,40.0
1991,Anna Field,33.99,39.99,silver,slip-ons,6.0
1992,Bosanova,35.99,39.99,beige,mules,4.0
1993,Marco Tozzi,52.95,59.99,white/gold,trainers,7.039999999999999
1994,Puma,56.45,94.95,black/warm earth,trainers,38.5
1995,Paul Green,189.95,189.95,schwarz,boots,0.0
1996,Ca'Shott,135.99,169.99,black,boots,34.0
1997,s.Oliver,47.79,59.95,pink ,mules,12.160000000000004
1998,Palado,19.9,74.95,senf gold,sandals,55.050000000000004
1999,Marc O'Polo,58.95,69.95,black,mules,11.0
2000,Palado,54.95,79.95,beige,mules,25.0
2001,Lacoste,79.95,99.95,off white,trainers,20.0
2002,Where’s That From,49.99,49.99,black glitter,sandals,0.0
2003,Bagatt,99.95,99.95,schwarz,boots,0.0
2004,Hummel,44.95,64.95,dress blue/white,trainers,20.0
2005,Tamaris,62.95,89.95,taupe,boots,27.0
2006,Anna Field Wide Fit,16.59,29.99,light blue,heels,13.399999999999999
2007,Nine West,39.99,119.99,black,heels,80.0
2008,Marco Tozzi,41.95,49.95,cream,lace-ups,8.0
2009,Even&Odd,21.99,44.99,multi coloured,sandals,23.000000000000004
2010,Skechers Wide Fit,63.95,74.95,black,trainers,11.0
2011,Tamaris,79.95,79.95,black,heels,0.0
2012,Marco Tozzi,44.95,49.95,black,heels,5.0
2013,Donna Carolina,141.22,189.9,braun,slip-ons,48.68000000000001
2014,Reebok Classic,61.6,110.0,cloud white   sea spray   chalk green,trainers,48.4
2015,Tommy Jeans,69.95,99.95,shimmering blue/white,trainers,30.0
2016,adidas Originals,39.95,44.95,grey one/core white/off white,slides,5.0
2017,Reebok Classic,99.95,99.95,chalk/classic maroon /stucco,trainers,0.0
2018,Paul Green,118.95,149.9,schwarz ,slip-ons,30.950000000000003
2019,Toni Pons,69.95,69.95,pedra,sandals,0.0
2020,Palado,39.95,69.95,schwarz,mules,30.0
2021,Where’s That From,44.99,44.99,black suede,mixed,0.0
2022,Skechers Sport,99.95,99.95,black/multi-coloured metallic ,trainers,0.0
2023,Anna Field,24.99,27.99,cognac,slip-ons,3.0
2024,Nine West,34.99,119.99,orange,trainers,85.0
2025,Queen Helena,31.5,35.0,nero,sandals,3.5
2026,Even&Odd Wide Fit,33.99,39.99,black,heels,6.0
2027,Marc O'Polo,79.95,109.95,pink,trainers,30.0
2028,Hummel,79.95,79.95,nirvana/picante,trainers,0.0
2029,Mango,29.99,49.99,schwarz,pumps,20.000000000000004
2030,Palado,19.95,79.95,white,slip-ons,60.0
2031,Pier One,34.99,34.99,white,trainers,0.0
2032,Mango,99.99,99.99,tobacco braun,boots,0.0
2033,adidas Originals,99.95,99.95,core black/footwear white,trainers,0.0
2034,Anna Field Wide Fit,44.99,44.99,black,heels,0.0
2035,Donna Carolina,118.0,169.0,orange,heels,51.0
2036,Skechers Sport,41.95,49.95,black,mules,8.0
2037,adidas Originals,107.95,119.95,core black/silver metallic,trainers,12.0
2038,Queen Helena,58.5,65.0,argento,sandals,6.5
2039,Tamaris,39.95,49.95,black,mules,10.0
2040,CHARLES FOOTWEAR,59.0,99.99,black,boots,40.989999999999995
2041,Les Bagatelles,37.5,75.0,gold,sandals,37.5
2042,Even&Odd,36.19,44.99,beige,sandals,8.800000000000004
2043,Ambellis,33.99,149.99,braun,boots,116.0
2044,Birkenstock,109.95,109.95,tabacco brown,mules,0.0
2045,Roxy,16.89,20.99,black,sandals,4.099999999999998
2046,Bullboxer,39.96,49.95,mango,espadrilles,9.990000000000002
2047,New Balance,129.95,129.95,light grey/oliv,trainers,0.0
2048,Marco Tozzi,29.95,49.95,hot pink,heels,20.000000000000004
2049,Woden,107.95,119.95,dunkel marine,trainers,12.0
2050,Paul Vesterbro,49.99,79.99,cognac,boots,29.999999999999993
2051,Bagatt,79.95,99.95,schwarz,boots,20.0
2052,Anna Field,47.99,59.99,gold-coloured,sandals,12.0
2053,Palado,34.95,84.95,rose metallic ,mules,50.0
2054,Anna Field,23.89,27.99,beige,mules,4.099999999999998
2055,Cesare Gaspari,68.0,158.0,beige,sandals,90.0
2056,Anna Field,29.99,39.99,beige,pumps,10.000000000000004
2057,Anna Field,39.99,79.99,light blue,heels,39.99999999999999
2058,Crosby,29.99,59.99,beige,trainers,30.000000000000004
2059,Nine West,49.99,99.99,nude,heels,49.99999999999999
2060,New Look,35.99,39.99,black,sandals,4.0
2061,Tamaris,39.95,59.95,pistacchio,mules,20.0
2062,Skechers Sport,38.35,44.95,black /iridescent,mules,6.600000000000001
2063,TOM TAILOR,40.15,55.99,navy,espadrilles,15.840000000000003
2064,Bershka,35.99,35.99,multi coloured,trainers,0.0
2065,Pepe Jeans,29.95,49.95,pinkish,trainers,20.000000000000004
2066,PULL&BEAR,59.99,59.99,black,boots,0.0
2067,Dr. Martens,160.95,229.95,black ,boots,69.0
2068,Anna Field,39.99,79.99,light pink,heels,39.99999999999999
2069,Bagatt,38.95,59.99,weiß,mules,21.04
2070,Apple of Eden,134.75,149.9,grün,trainers,15.150000000000006
2071,mtng,65.95,65.95,black,sandals,0.0
2072,s.Oliver,59.94,59.94,black comb,lace-ups,0.0
2073,Buffalo,59.99,99.99,tie dye coral/green,trainers,39.99999999999999
2074,Lloyd,169.9,169.9,brown,boots,0.0
2075,PULL&BEAR,29.99,29.99,white,trainers,0.0
2076,Dr. Martens,125.95,179.95,black,mixed,53.999999999999986
2077,Where’s That From,49.99,49.99,rose gold,sandals,0.0
2078,Nine West,44.99,109.99,white,mules,65.0
2079,Betsy,49.99,69.99,lt green,mules,19.999999999999993
2080,Caprice,62.99,99.99,blue silver,trainers,36.99999999999999
2081,adidas Originals,48.95,64.95,off white/core black,slides,16.0
2082,Stradivarius,19.99,19.99,gold coloured,mules,0.0
2083,Tamaris,29.95,59.95,black metallic,sandals,30.000000000000004
2084,Keddo,24.99,49.99,yellow,mules,25.000000000000004
2085,Marco Tozzi,31.95,49.95,nude,heels,18.000000000000004
2086,Palado,29.95,74.95,gold metallic,mules,45.0
2087,Hey Dude,66.45,69.95,blau,lace-ups,3.5
2088,Vagabond,99.95,140.0,cognac,slip-ons,40.05
