,Titles,Years
5893,Single naive CD4+ T cells from a diverse repertoire produce different effector cell types during infection.,2013
5894,"Sperm, but not oocyte, DNA methylome is inherited by zebrafish early embryos.",2013
5895,Reprogramming the maternal zebrafish genome after fertilization to match the paternal methylation pattern.,2013
5896,Young at heart.,2013
5897,Microbiota keep the intestinal clock ticking.,2013
5898,Dwelling on T cell fate decisions.,2013
5899,Beyond DNA: programming and inheritance of parental methylomes.,2013
5900,Catalyzing curriculum evolution in graduate science education.,2013
5901,One-step generation of mice carrying mutations in multiple genes by CRISPR/Cas-mediated genome engineering.,2013
5902,Four-dimensional imaging of E. coli nucleoid organization and dynamics in living cells.,2013
5903,Betatrophin: a hormone that controls pancreatic β cell proliferation.,2013
5904,SnapShot: Axon guidance II.,2013
5905,Integrated systems approach identifies genetic nodes and networks in late-onset Alzheimer's disease.,2013
5906,Punctuated evolution of prostate cancer genomes.,2013
5907,Mapping the human miRNA interactome by CLASH reveals frequent noncanonical binding.,2013
5908,14-3-3 proteins interact with a hybrid prenyl-phosphorylation motif to inhibit G proteins.,2013
5909,Nucleotide binding and conformational switching in the hexameric ring of a AAA+ machine.,2013
5910,Proteasome regulation by ADP-ribosylation.,2013
5911,A vitamin D receptor/SMAD genomic circuit gates hepatic fibrotic response.,2013
5912,The histone mark H3K36me3 regulates human DNA mismatch repair through its interaction with MutSα.,2013
5913,ADAR1 forms a complex with Dicer to promote microRNA processing and RNA-induced gene silencing.,2013
5914,MicroRNAs inhibit the translation of target mRNAs on the endoplasmic reticulum in Arabidopsis.,2013
5915,Specified neural progenitors sort to form sharp domains after noisy Shh signaling.,2013
5916,Trnp1 regulates expansion and folding of the mammalian cerebral cortex by control of radial glial fate.,2013
5917,The long and short of microRNA.,2013
5918,"On your mark, get SET(D2), go! H3K36me3 primes DNA mismatch repair.",2013
5919,MicroRNAs visit the ER.,2013
5920,Sorting sloppy Sonic.,2013
5921,Radical host-specific therapies for TB.,2013
5922,"1953: when genes became ""information"".",2013
5923,Genome-wide profiling of 5-formylcytosine reveals its roles in epigenetic priming.,2013
5924,Genome-wide analysis reveals TET- and TDG-dependent 5-methylcytosine oxidation dynamics.,2013
5925,TNF dually mediates resistance and susceptibility to mycobacteria via mitochondrial reactive oxygen species.,2013
5926,SnapShot: Axon Guidance.,2013
5927,Methylation-dependent and -independent genomic targeting principles of the MBD protein family.,2013
5928,The ribosome as an optimal decoder: a lesson in molecular recognition.,2013
5929,Protein complexes are under evolutionary selection to assemble via ordered pathways.,2013
5930,Small RNA-mediated activation of sugar phosphatase mRNA regulates glucose homeostasis.,2013
5931,The fractalkine/CX3CR1 system regulates β cell function and insulin secretion.,2013
5932,A Direct in vivo RNAi screen identifies MKK4 as a key regulator of liver regeneration.,2013
5933,Type 2 innate signals stimulate fibro/adipogenic progenitors to facilitate muscle regeneration.,2013
5934,Nr4a1-dependent Ly6C(low) monocytes monitor endothelial cells and orchestrate their disposal.,2013
5935,The adaptor MAVS promotes NLRP3 mitochondrial localization and inflammasome activation.,2013
5936,Exit from pluripotency is gated by intracellular redistribution of the bHLH transcription factor Tfe3.,2013
5937,Selective inhibition of tumor oncogenes by disruption of super-enhancers.,2013
5938,Master transcription factors and mediator establish super-enhancers at key cell identity genes.,2013
5939,Allostery in disease and in drug discovery.,2013
5940,Higher-order assemblies in a new paradigm of signal transduction.,2013
5941,Polarized radicals.,2013
5942,A therapy for liver failure found in the JNK yard.,2013
5943,Guards at the gate to embryonic stem cell differentiation.,2013
5944,Non-cell-autonomous tumor suppression by p53.,2013
5945,The bacterial DnaC helicase loader is a DnaB ring breaker.,2013
5946,A mechanism for localized lignin deposition in the endodermis.,2013
5947,Noncoding RNAs and cancer.,2013
5948,SnapShot: inflammasomes.,2013
5949,Integration of metabolic and gene regulatory networks modulates the C. elegans dietary response.,2013
5950,Diet-induced developmental acceleration independent of TOR and insulin in C. elegans.,2013
5951,Metformin retards aging in C. elegans by altering microbial folate and methionine metabolism.,2013
5952,Phospholipase Cε hydrolyzes perinuclear phosphatidylinositol 4-phosphate to regulate cardiac hypertrophy.,2013
5953,The Arabidopsis nucleosome remodeler DDM1 allows DNA methyltransferases to access H1-containing heterochromatin.,2013
5954,An RNA degradation machine sculpted by Ro autoantigen and noncoding RNA.,2013
5955,Heritable remodeling of yeast multicellularity by an environmentally responsive prion.,2013
5956,Glioblastoma stem cells generate vascular pericytes to support vessel function and tumor growth.,2013
5957,Somatic mutations of the immunoglobulin framework are generally required for broad and potent HIV-1 neutralization.,2013
5958,Endogenous retrotransposition activates oncogenic pathways in hepatocellular carcinoma.,2013
5959,Hijacking the neuronal NMDAR signaling circuit to promote tumor growth and invasion.,2013
5960,Reversible disruption of mSWI/SNF (BAF) complexes by the SS18-SSX oncogenic fusion in synovial sarcoma.,2013
5961,Influence of metabolism on epigenetics and disease.,2013
5962,Interplay between the cancer genome and epigenome.,2013
5963,Lessons from the cancer genome.,2013
5964,Cullins getting undressed by the protein exchange factor Cand1.,2013
5965,Ring around the Ro-sie: RNA-mediated alterations of PNPase activity.,2013
5966,Synovial sarcoma mechanisms: a series of unfortunate events.,2013
5967,Single-cell dynamics of genome-nuclear lamina interactions.,2013
5968,The lipid mediator protectin D1 inhibits influenza virus replication and improves severe influenza.,2013
5969,Cand1 promotes assembly of new SCF complexes through dynamic exchange of F box proteins.,2013
5970,Nuclear biology: what's been most surprising?,2013
5971,SnapShot: Replication timing.,2013
5972,Nuclear positioning.,2013
5973,When lamins go bad: nuclear structure and disease.,2013
5974,Chromatin movement in the maintenance of genome stability.,2013
5975,Chromatin remodeling at DNA double-strand breaks.,2013
5976,Epigenetics of reprogramming to induced pluripotency.,2013
5977,"X-inactivation, imprinting, and long noncoding RNAs in health and disease.",2013
5978,Long noncoding RNAs: cellular address codes in development and disease.,2013
5979,CTCF and cohesin: linking gene regulatory elements with their targets.,2013
5980,Genome architecture: domain organization of interphase chromosomes.,2013
5981,Dynamic integration of splicing within gene regulatory pathways.,2013
5982,Transcriptional regulation and its misregulation in disease.,2013
5983,Criteria for inference of chromothripsis in cancer genomes.,2013
5984,Enclosing chromatin: reassembly of the nucleus after open mitosis.,2013
5985,Uncovering nuclear pore complexity with innovation.,2013
5986,Spinning the web of cell fate.,2013
5987,The cell biology of genomes: bringing the double helix to life.,2013
5988,SnapShot: the intestinal crypt.,2013
5989,Immuno- and constitutive proteasomes do not differ in their abilities to degrade ubiquitinated proteins.,2013
5990,Repurposing CRISPR as an RNA-guided platform for sequence-specific control of gene expression.,2013
5991,Profiling of ubiquitin-like modifications reveals features of mitotic control.,2013
5992,A network of cytosolic factors targets SRP-independent proteins to the endoplasmic reticulum.,2013
5993,Encoding and transducing the synaptic or extrasynaptic origin of NMDA receptor signals to the nucleus.,2013
5994,FBXL21 regulates oscillation of the circadian clock through ubiquitination and stabilization of cryptochromes.,2013
5995,Competing E3 ubiquitin ligases govern circadian periodicity by degradation of CRY in nucleus and cytoplasm.,2013
5996,Targeting placental growth factor/neuropilin 1 pathway inhibits growth and spread of medulloblastoma.,2013
5997,Regulation of WASH-dependent actin polymerization and protein trafficking by ubiquitination.,2013
5998,Jmjd3 inhibits reprogramming by upregulating expression of INK4a/Arf and targeting PHF20 for ubiquitination.,2013
5999,H3K4me3 interactions with TAF3 regulate preinitiation complex assembly and selective gene activation.,2013
6000,Interaction domains of Sos1/Grb2 are finely tuned for cooperative control of embryonic stem cell fate.,2013
6001,Excess membrane synthesis drives a primitive mode of cell proliferation.,2013
6002,An AT-hook domain in MeCP2 determines the clinical course of Rett syndrome and related disorders.,2013
6003,A role for the nucleoporin Nup170p in chromatin structure and gene silencing.,2013
6004,Encoding and decoding cellular information through signaling dynamics.,2013
6005,Evolution of cell division: from shear mechanics to complex molecular machineries.,2013
6006,By hook or by crook: multifaceted DNA-binding properties of MeCP2.,2013
6007,Quit stalling or you'll be silenced.,2013
6008,Immunoproteasomes are important for proteostasis in immune responses.,2013
6009,Dynamic readers for 5-(hydroxy)methylcytosine and its oxidized derivatives.,2013
6010,CXCR4/CXCL12 mediate autocrine cell- cycle progression in NF1-associated malignant peripheral nerve sheath tumors.,2013
6011,Stalled spliceosomes are a signal for RNAi-mediated genome defense.,2013
6012,SnapShot: p38 MAPK substrates.,2013
6013,Retraction notice to: Imaging activity-dependent regulation of neurexin-neuroligin interactions using trans-synaptic enzymatic biotinylation.,2013
6014,Tit-for-tat: type VI secretion system counterattack during bacterial cell-cell interactions.,2013
6015,DNA synthesis is required for reprogramming mediated by stem cell fusion.,2013
6016,Regulation of transcription through acetylation of H3K122 on the lateral surface of the histone octamer.,2013
6017,Beyond secondary structure: primary-sequence determinants license pri-miRNA hairpins for processing.,2013
6018,"SMARCA3, a chromatin-remodeling factor, is required for p11-dependent antidepressant action.",2013
6019,Bacterial nitric oxide extends the lifespan of C. elegans.,2013
6020,A genetic program promotes C. elegans longevity at cold temperatures via a thermosensitive TRP channel.,2013
6021,Dual specificity kinase DYRK3 couples stress granule condensation/dissolution to mTORC1 signaling.,2013
6022,Branching microtubule nucleation in Xenopus egg extracts mediated by augmin and TPX2.,2013
6023,Structural basis for recruitment and activation of the AP-1 clathrin adaptor complex by Arf1.,2013
6024,The NeST long ncRNA controls microbial susceptibility and epigenetic activation of the interferon-γ locus.,2013
6025,Xist RNA is a potent suppressor of hematologic cancer in mice.,2013
6026,Evolution and impact of subclonal mutations in chronic lymphocytic leukemia.,2013
6027,Identifying recent adaptations in large-scale genomic data.,2013
6028,Modeling recent human evolution in mice by expression of a selected EDAR variant.,2013
6029,The origins and drivers of insulin resistance.,2013
6030,A cool way to live long.,2013
6031,Nucleating new branches from old.,2013
6032,A mouse following in the footsteps of human prehistory.,2013
6033,A systematic mammalian genetic interaction map reveals pathways underlying ricin susceptibility.,2013
6034,mTOR regulates lysosomal ATP-sensitive two-pore Na(+) channels to adapt to metabolic state.,2013
6035,A high-resolution enhancer atlas of the developing telencephalon.,2013
6036,Chromatin: receiver and quarterback for cellular signals.,2013
6037,SnapShot: p38 MAPK signaling.,2013
6038,Integrative eQTL-based analyses reveal the biology of breast cancer risk loci.,2013
6039,Melanocortin 4 receptors reciprocally regulate sympathetic and parasympathetic preganglionic neurons.,2013
6040,Control of nutrient stress-induced metabolic reprogramming by PKCζ in tumorigenesis.,2013
6041,LBR and lamin A/C sequentially tether peripheral heterochromatin and inversely regulate differentiation.,2013
6042,Architecture and membrane interactions of the EGF receptor.,2013
6043,Conformational coupling across the plasma membrane in activation of the EGF receptor.,2013
6044,The dynamic process of β(2)-adrenergic receptor activation.,2013
6045,Bax crystal structures reveal how BH3 domains activate Bax and nucleate its oligomerization to induce apoptosis.,2013
6046,Ubiad1 is an antioxidant enzyme that regulates eNOS activity by CoQ10 synthesis.,2013
6047,Blood-borne circadian signal stimulates daily oscillations in actin dynamics and SRF activity.,2013
6048,Vesicular glycolysis provides on-board energy for fast axonal transport.,2013
6049,Induction of Siglec-G by RNA viruses inhibits the innate immune response by promoting RIG-I degradation.,2013
6050,Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements.,2013
6051,ISWI remodelers slide nucleosomes with coordinated multi-base-pair entry steps and single-base-pair exit steps.,2013
6052,Structural basis of transcriptional pausing in bacteria.,2013
6053,Mechanisms of programmed DNA lesions and genomic instability in the immune system.,2013
6054,Genomes on the edge: programmed genome instability in ciliates.,2013
6055,Gene copy-number alterations: a cost-benefit analysis.,2013
6056,The role of telomeres in stem cells and cancer.,2013
6057,GWAS meets TCGA to illuminate mechanisms of cancer predisposition.,2013
6058,Conformational ensembles in GPCR activation.,2013
6059,Unlatched BAX pairs for death.,2013
6060,SRF'ing around the clock.,2013
6061,"Braveheart, a long noncoding RNA required for cardiovascular lineage commitment.",2013
6062,Identification of early replicating fragile sites that contribute to genome instability.,2013
6063,Genome-wide chromatin state transitions associated with developmental and environmental cues.,2013
6064,SnapShot: Selective autophagy.,2013
6065,Retraction notice to: Enhanced polyubiquitination of Shank3 and NMDA receptor in a mouse model of autism.,2013
6066,Monitoring tumorigenesis and senescence in vivo with a p16(INK4a)-luciferase model.,2013
6067,DNA-binding specificities of human transcription factors.,2013
6068,Folding and self-assembly of the TatA translocation pore based on a charge zipper mechanism.,2013
6069,Inactivation of BAD by IKK inhibits TNFα-induced apoptosis independently of NF-κB activation.,2013
6070,Differential regulation of distinct Vps34 complexes by AMPK in nutrient stress and autophagy.,2013
6071,Derepression of a neuronal inhibitor due to miRNA dysregulation in a schizophrenia-related microdeletion.,2013
6072,Olig2 targets chromatin remodelers to enhancers to initiate oligodendrocyte differentiation.,2013
6073,Dynamic interaction between sigma-1 receptor and Kv1.2 shapes neuronal and behavioral responses to cocaine.,2013
6074,SOD1 integrates signals from oxygen and glucose to repress respiration.,2013
6075,The ciliary G-protein-coupled receptor Gpr161 negatively regulates the Sonic hedgehog pathway via cAMP signaling.,2013
6076,The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis.,2013
6077,The myosin chaperone UNC-45 is organized in tandem modules to support myofilament formation in C. elegans.,2013
6078,Molecular adaptations allow dynein to generate large collective forces inside cells.,2013
6079,Latent enhancers activated by stimulation in differentiated cells.,2013
6080,Sequence-specific transcription factor NF-Y displays histone-like DNA binding and H2B-like ubiquitination.,2013
6081,Human TFIID binds to core promoter DNA in a reorganized structural state.,2013
6082,System-wide rewiring underlies behavioral differences in predatory and bacterial-feeding nematodes.,2013
6083,Developmentally regulated subnuclear genome reorganization restricts neural progenitor competence in Drosophila.,2013
6084,Riboswitch control of aminoglycoside antibiotic resistance.,2013
6085,Reprogramming adult Schwann cells to stem cell-like cells by leprosy bacilli promotes dissemination of infection.,2013
6086,Xenobiotics shape the physiology and gene expression of the active human gut microbiome.,2013
6087,A decade of riboswitches.,2013
6088,Mighty bugs: leprosy bacteria turn schwann cells into stem cells.,2013
6089,Progenitor competence: genes switching places.,2013
6090,Comprehensive analysis of silencing mutants reveals complex regulation of the Arabidopsis methylome.,2013
6091,Direct conversion of fibroblasts to neurons by reprogramming PTB-regulated microRNA circuits.,2013
6092,Intestinal tumorigenesis initiated by dedifferentiation and acquisition of stem-cell-like properties.,2013
6093,The RNA Pol II elongation factor Ell3 marks enhancers in ES cells and primes future gene activation.,2013
6094,"Structural basis for dsRNA recognition, filament formation, and antiviral signal activation by MDA5.",2013
6095,SnapShot: Viral and eukaryotic protein fusogens.,2012
6096,A molecular roadmap of reprogramming somatic cells into iPS cells.,2012
6097,Foxa2 and H2A.Z mediate nucleosome depletion during embryonic stem cell differentiation.,2012
6098,Diabetes risk gene and Wnt effector Tcf7l2/TCF4 controls hepatic response to perinatal and adult metabolic demand.,2012
6099,Multiple autism-linked genes mediate synapse elimination via proteasomal degradation of a synaptic scaffold PSD-95.,2012
6100,An endogenous accelerator for viral gene expression confers a fitness advantage.,2012
6101,Crystal structure of the HLA-DM-HLA-DR1 complex defines mechanisms for rapid peptide selection.,2012
6102,Exosomes mediate stromal mobilization of autocrine Wnt-PCP signaling in breast cancer cell migration.,2012
6103,MITRAC links mitochondrial protein translocation to respiratory-chain assembly and translational regulation.,2012
6104,Force fluctuations within focal adhesions mediate ECM-rigidity sensing to guide directed cell migration.,2012
6105,CapSeq and CIP-TAP identify Pol II start sites and reveal capped small RNAs as C. elegans piRNA precursors.,2012
6106,An inhibitor of nonhomologous end-joining abrogates double-strand break repair and impedes cancer progression.,2012
6107,Whole-genome sequencing in autism identifies hot spots for de novo germline mutation.,2012
6108,MeCP2 binds to 5hmC enriched within active genes and accessible chromatin in the nervous system.,2012
6109,The origin of membrane bioenergetics.,2012
6110,A dimer to bridge early autophagosomal membranes.,2012
6111,Blending hippo and WNT: sharing messengers and regulation.,2012
6112,Loaded dice for human genome mutation.,2012
6113,Role of TAZ as mediator of Wnt signaling.,2012
6114,β-Catenin-driven cancers require a YAP1 transcriptional complex for survival and tumorigenesis.,2012
6115,Architecture of the Atg17 complex as a scaffold for autophagosome biogenesis.,2012
6116,SnapShot: mTORC1 signaling at the lysosomal surface.,2012
6117,Noninvasive imaging beyond the diffraction limit of 3D dynamics in thickly fluorescent specimens.,2012
6118,Deciphering and prediction of transcriptome dynamics under fluctuating field conditions.,2012
6119,A conserved dedicated olfactory circuit for detecting harmful microbes in Drosophila.,2012
6120,Norrin/Frizzled4 signaling in retinal vascular development and blood brain barrier plasticity.,2012
6121,A PGC-1α isoform induced by resistance training regulates skeletal muscle hypertrophy.,2012
6122,CDK-dependent Hsp70 Phosphorylation controls G1 cyclin abundance and cell-cycle progression.,2012
6123,An interdomain energetic tug-of-war creates the allosterically active state in Hsp70 molecular chaperones.,2012
6124,TMHS is an integral component of the mechanotransduction machinery of cochlear hair cells.,2012
6125,The hairpin-type tail-anchored SNARE syntaxin 17 targets to autophagosomes for fusion with endosomes/lysosomes.,2012
6126,Piwi-interacting RNAs protect DNA against loss during Oxytricha genome rearrangement.,2012
6127,Tet3 CXXC domain and dioxygenase activity cooperatively regulate key genes for Xenopus eye and neural development.,2012
6128,The histone deacetylase SIRT6 is a tumor suppressor that controls cancer metabolism.,2012
6129,Shedding light on apoptosis at subcellular membranes.,2012
6130,Signaling organelles of the innate immune system.,2012
6131,Cleaning up: ER-associated degradation to the rescue.,2012
6132,Modeling transcriptome dynamics in a complex world.,2012
6133,Bacterial border fence.,2012
6134,Small RNAs of opposite sign… but same absolute value.,2012
6135,SIRT6 puts cancer metabolism in the driver's seat.,2012
6136,Cellular alchemy and the golden age of reprogramming.,2012
6137,Embryonic priming of a miRNA locus predetermines postmitotic neuronal left/right asymmetry in C. elegans.,2012
6138,G-protein-coupled receptors signal victory.,2012
6139,General protein diffusion barriers create compartments within bacterial cells.,2012
6140,UpSET recruits HDAC complexes and restricts chromatin accessibility and acetylation at promoter regions.,2012
6141,SnapShot: telomeres and telomerase.,2012
6142,Molecular profiling of activated neurons by phosphorylated ribosome capture.,2012
6143,A fructose receptor functions as a nutrient sensor in the Drosophila brain.,2012
6144,Microcephaly gene links trithorax and REST/NRSF to control neural stem cell proliferation and differentiation.,2012
6145,Endocardial cells form the coronary arteries by angiogenesis through myocardial-endocardial VEGF signaling.,2012
6146,Argonaute divides its RNA guide into domains with distinct functions and RNA-binding properties.,2012
6147,A ribosome-bound quality control complex triggers degradation of nascent peptides and signals translation stress.,2012
6148,Three-dimensional architecture of the rod sensory cilium and its disruption in retinal neurodegeneration.,2012
6149,High degree of coordination and division of labor among subunits in a homomeric ring ATPase.,2012
6150,Promoter-specific transcription inhibition in Staphylococcus aureus by a phage protein.,2012
6151,STATs shape the active enhancer landscape of T cell populations.,2012
6152,Site-specific silencing of regulatory elements as a mechanism of X inactivation.,2012
6153,MED12 controls the response to multiple cancer drugs through regulation of TGF-β receptor signaling.,2012
6154,Phosphoribosomes for fingerprinting neurons.,2012
6155,An endothelial contribution to coronary vessels.,2012
6156,Designing an enhancer landscape.,2012
6157,A mediator lost in the war on cancer.,2012
6158,Facilitators and impediments of the pluripotency reprogramming factors' initial engagement with the genome.,2012
6159,Transcriptional silencing of transposons by Piwi and maelstrom and its impact on chromatin state and gene expression.,2012
6160,Convergent multi-miRNA targeting of ApoE drives LRP1/LRP8-dependent melanoma metastasis and angiogenesis.,2012
6161,The Cellular EJC Interactome Reveals Higher-Order mRNP Structure and an EJC-SR Protein Nexus.,2012
6162,"The Skp2-SCF E3 Ligase Regulates Akt Ubiquitination, Glycolysis, Herceptin Sensitivity, and Tumorigenesis.",2012
6163,Dicer Partner Proteins Tune the Length of Mature miRNAs in Flies and Mammals.,2012
6164,SnapShot: cortical development.,2012
6165,The loop position of shRNAs and pre-miRNAs is critical for the accuracy of dicer processing in vivo.,2012
6166,Protection from feed-forward amplification in an amplified RNAi mechanism.,2012
6167,UAP56 couples piRNA clusters to the perinuclear transposon silencing machinery.,2012
6168,Fast-forward genetics identifies plant CPL phosphatases as regulators of miRNA processing factor HYL1.,2012
6169,The spinocerebellar ataxia-associated gene Tau tubulin kinase 2 controls the initiation of ciliogenesis.,2012
6170,Senataxin associates with replication forks to protect fork integrity across RNA-polymerase-II-transcribed genes.,2012
6171,HDAC4 governs a transcriptional program essential for synaptic plasticity and memory.,2012
6172,Protein folding drives disulfide formation.,2012
6173,Operational plasticity enables hsp104 to disaggregate diverse amyloid and nonamyloid clients.,2012
6174,Nucleosomal elements that control the topography of the barrier to transcription.,2012
6175,Nuclear aggregation of olfactory receptor genes governs their monogenic expression.,2012
6176,Pathogenic SYNGAP1 mutations impair cognitive development by disrupting maturation of dendritic spine synapses.,2012
6177,Daddy issues: paternal effects on phenotype.,2012
6178,Capturing the cloud: UAP56 in nuage assembly and function.,2012
6179,TTBK2 kinase: linking primary cilia and cerebellar ataxias.,2012
6180,Hsp104 gives clients the individual attention they need.,2012
6181,Protein group modification and synergy in the SUMO pathway as exemplified in DNA repair.,2012
6182,LIN28A is a suppressor of ER-associated translation in embryonic stem cells.,2012
6183,The cellular EJC interactome reveals higher-order mRNP structure and an EJC-SR protein nexus.,2012
6184,SnapShot: Bone Metastasis.,2012
6185,Quantitative analysis of fission yeast transcriptomes and proteomes in proliferating and quiescent cells.,2012
6186,Unraveling inflammatory responses using systems genetics and gene-environment interactions in macrophages.,2012
6187,GABAergic RIP-Cre neurons in the arcuate nucleus selectively regulate energy expenditure.,2012
6188,MICU1 is an essential gatekeeper for MCU-mediated mitochondrial Ca(2+) uptake that regulates cell survival.,2012
6189,Membrane shape at the edge of the dynamin helix sets location and duration of the fission reaction.,2012
6190,Meiotic prophase requires proteolysis of M phase regulators mediated by the meiosis-specific APC/CAma1.,2012
6191,A mouse model of Salmonella typhi infection.,2012
6192,Regulation of pluripotency and self- renewal of ESCs through epigenetic-threshold modulation and mRNA pruning.,2012
6193,Activation of innate immunity is required for efficient nuclear reprogramming.,2012
6194,Selective protein synthesis by ribosomes with a drug-obstructed exit tunnel.,2012
6195,Visualizing group II intron catalysis through the stages of splicing.,2012
6196,Single-neuron sequencing analysis of L1 retrotransposition and somatic mutation in the human brain.,2012
6197,Revisiting global gene expression analysis.,2012
6198,A tollgate for typhoid.,2012
6199,"""Transflammation"": when innate immunity meets induced pluripotency.",2012
6200,Macrolides: the plug is out.,2012
6201,A missing link in genotype-directed cancer therapy.,2012
6202,Efficient direct reprogramming of mature amniotic cells into endothelial cells by ETS factors and TGFβ suppression.,2012
6203,Mono-uridylation of pre-microRNA as a key step in the biogenesis of group II let-7 microRNAs.,2012
6204,Dicer partner proteins tune the length of mature miRNAs in flies and mammals.,2012
6205,Retraction notice to: Elevated tRNA(iMet) synthesis can drive cell proliferation and oncogenic transformation.,2012
6206,SnapShot: small RNA-mediated epigenetic modifications.,2012
6207,An SMN-dependent U12 splicing event essential for motor circuit function.,2012
6208,SMN is required for sensory-motor circuit function in Drosophila.,2012
6209,Hedgehog partial agonism drives Warburg-like metabolism in muscle and brown fat.,2012
6210,Mechanism of fatty-acid-dependent UCP1 uncoupling in brown fat mitochondria.,2012
6211,Soluble FLT1 binds lipid microdomains in podocytes to control cell morphology and glomerular barrier function.,2012
6212,TPC proteins are phosphoinositide- activated sodium-selective ion channels in endosomes and lysosomes.,2012
6213,The endosomal sorting complex ESCRT-II mediates the assembly and architecture of ESCRT-III helices.,2012
6214,Relative mitochondrial priming of myeloblasts and normal HSCs determines chemotherapeutic success in AML.,2012
6215,Heteroplasmy of mouse mtDNA is genetically unstable and results in altered behavior and cognition.,2012
6216,A structural basis for the assembly and functions of a viral polymer that inactivates multiple tumor suppressors.,2012
6217,Human RNA methyltransferase BCDIN3D regulates microRNA processing.,2012
6218,Pathogenic simian immunodeficiency virus infection is associated with expansion of the enteric virome.,2012
6219,A circuit mechanism for neurodegeneration.,2012
6220,Turning on brown fat and muscle metabolism: hedging your bets.,2012
6221,The problem with mixing mitochondria.,2012
6222,A helicase with an extra spring in its step.,2012
6223,The obligation for biologists to commit to political advocacy.,2012
6224,Designing synthetic regulatory networks capable of self-organizing cell polarization.,2012
6225,The hexameric helicase DnaB adopts a nonplanar conformation during translocation.,2012
6226,A validated regulatory network for Th17 cell specification.,2012
6227,SnapShot: Mammalian Rab proteins in endocytic trafficking.,2012
6228,Asymmetrically modified nucleosomes.,2012
6229,Dual binding of chromomethylase domains to H3K9me2-containing nucleosomes directs DNA methylation in plants.,2012
6230,Foxp3 exploits a pre-existent enhancer landscape for regulatory T cell lineage specification.,2012
6231,Regulated accumulation of desmosterol integrates macrophage lipid metabolism and inflammatory responses.,2012
6232,Drosophila cytokine unpaired 2 regulates physiological homeostasis by remotely controlling insulin secretion.,2012
6233,TMEM16F forms a Ca2+-activated cation channel required for lipid scrambling in platelets during blood coagulation.,2012
6234,"TRPV4 is a regulator of adipose oxidative metabolism, inflammation, and energy homeostasis.",2012
6235,"Protein modularity, cooperative binding, and hybrid regulatory states underlie transcriptional network diversification.",2012
6236,c-Myc is a universal amplifier of expressed genes in lymphocytes and embryonic stem cells.,2012
6237,Transcriptional amplification in tumor cells with elevated c-Myc.,2012
6238,The transcription factor MEF2 directs developmental visually driven functional and structural metaplasticity.,2012
6239,TREK-1 and Best1 channels mediate fast and slow glutamate release in astrocytes upon GPCR activation.,2012
6240,Restructuring G-protein- coupled receptor activation.,2012
6241,All things to all people.,2012
6242,A molecular link tethering neuronal responses with the past.,2012
6243,Reprogramming of DNA methylation in pollen guides epigenetic inheritance via small RNA.,2012
6244,Dynamic and coordinated epigenetic regulation of developmental transitions in the cardiac lineage.,2012
6245,A temporal chromatin signature in human embryonic stem cells identifies regulators of cardiac development.,2012
6246,SnapShot: membrane curvature sensors and generators.,2012
6247,Long-distance growth and connectivity of neural stem cells after severe spinal cord injury.,2012
6248,Chemokine guidance of central memory T cells is critical for antiviral recall responses in lymph nodes.,2012
6249,A spatially-organized multicellular innate immune response in lymph nodes limits systemic pathogen spread.,2012
6250,Pancreatic β cell dedifferentiation as a mechanism of diabetic β cell failure.,2012
6251,Single-cell expression analyses during cellular reprogramming reveal an early stochastic and a late hierarchic phase.,2012
6252,Ragulator is a GEF for the rag GTPases that signal amino acid levels to mTORC1.,2012
6253,RNF168 ubiquitinates K13-15 on H2A/H2AX to drive DNA damage signaling.,2012
6254,"Microprocessor, Setx, Xrn2, and Rrp6 co-operate to induce premature termination of transcription by RNAPII.",2012
6255,Loss of 5-hydroxymethylcytosine is an epigenetic hallmark of melanoma.,2012
6256,Genomic landscape of non-small cell lung cancer in smokers and never-smokers.,2012
6257,Mapping the hallmarks of lung adenocarcinoma with massively parallel sequencing.,2012
6258,Building bridges for spinal cord repair.,2012
6259,Diabetic β Cells: To Be or Not To Be?,2012
6260,"Pure genes, pure genius.",2012
6261,Liver transplantation: from inception to clinical practice.,2012
6262,Behind the movement.,2012
6263,Set3 HDAC mediates effects of overlapping noncoding transcription on gene induction kinetics.,2012
6264,Transcription of two long noncoding RNAs mediates mating-type control of gametogenesis in budding yeast.,2012
6265,Circuitry and dynamics of human transcription factor regulatory networks.,2012
6266,Systems genetics of metabolism: the use of the BXD murine reference panel for multiscalar integration of traits.,2012
6267,SnapShot: the nuclear envelope II.,2012
6268,A census of human soluble protein complexes.,2012
6269,Role of leaky neuronal ryanodine receptors in stress-induced cognitive dysfunction.,2012
6270,Drosophila auditory organ genes and genetic hearing defects.,2012
6271,Structurally distinct bacterial TBC-like GAPs link Arf GTPase to Rab1 inactivation to counteract host defenses.,2012
6272,Self-organized shuttling: generating sharp dorsoventral polarity in the early Drosophila embryo.,2012
6273,Quantitative analysis of HSP90-client interactions reveals principles of substrate recognition.,2012
6274,"Lis1 acts as a ""clutch"" between the ATPase and microtubule-binding domains of the dynein motor.",2012
6275,Prdm3 and Prdm16 are H3K9me1 methyltransferases required for mammalian heterochromatin integrity.,2012
6276,Step-wise methylation of histone H3K9 positions heterochromatin at the nuclear periphery.,2012
